Si-En,Si-Eps,Ge-En,Ge-Eps,GaAs-En,GaAs-Eps,InP-En,InP-Eps
1.5,0.038,1.5,2.772,1.5,0.589,1.5,1.4
1.6,0.057,1.6,3.288,1.6,0.677,1.6,1.509
1.7,0.078,1.7,3.925,1.7,0.838,1.7,1.68
1.8,0.099,1.8,5.069,1.8,1.141,1.8,1.889
1.9,0.126,1.9,6.761,1.9,1.369,1.9,2.062
2,0.172,2,10.427,2,1.637,2,2.252
2.1,0.236,2.1,18.791,2.1,1.893,2.1,2.488
2.2,0.26,2.2,21.651,2.2,2.212,2.2,2.755
2.3,0.396,2.3,23.466,2.3,2.622,2.3,3.06
2.4,0.508,2.4,22.636,2.4,3.123,2.4,3.425
2.5,0.63,2.5,20.695,2.5,3.821,2.5,3.904
2.6,0.803,2.6,19.307,2.6,4.841,2.6,4.524
2.7,1.193,2.7,18.289,2.7,6.536,2.7,5.337
2.8,1.548,2.8,17.604,2.8,9.83,2.8,6.482
2.9,2.017,2.9,17.282,2.9,17.383,2.9,8.205
3,2.807,3,17.514,3,17.571,3,10.962
3.1,4.321,3.1,18.349,3.1,18.765,3.1,15.325
3.2,7.636,3.2,19.45,3.2,18.022,3.2,17.043
3.3,17.717,3.3,20.385,3.3,16.037,3.3,15.797
3.4,35.282,3.4,20.994,3.4,14.929,3.4,13.592
3.5,33.818,3.5,21.442,3.5,14.216,3.5,12.443
3.6,31.632,3.6,21.992,3.6,13.739,3.6,11.731
3.7,31.527,3.7,22.664,3.7,13.459,3.7,11.266
3.8,32.229,3.8,23.509,3.8,13.365,3.8,10.974
3.9,33.567,3.9,24.595,3.9,13.47,3.9,10.841
4,35.939,4,26.056,4,13.832,4,10.871
4.1,39.947,4.1,27.965,4.1,14.538,4.1,11.088
4.2,45.348,4.2,30.025,4.2,15.767,4.2,11.539
4.3,44.095,4.3,30.089,4.3,17.803,4.3,12.358
4.4,33.35,4.4,23.494,4.4,20.582,4.4,13.739
4.5,24.919,4.5,16.782,4.5,22.845,4.5,16.161
4.6,18.601,4.6,13.62,4.6,23.891,4.6,20.039
4.7,15.094,4.7,11.768,4.7,24.835,4.7,22.948
4.8,13.193,4.8,10.51,4.8,25.196,4.8,20.989
4.9,11.974,4.9,9.592,4.9,23.393,4.9,17.894
5,11.195,5,8.911,5,18.563,5,14.896
5.1,10.776,5.1,8.424,5.1,13.677,5.1,11.483
5.2,10.655,5.2,8.115,5.2,11.143,5.2,9.399
5.3,10.586,5.3,7.943,5.3,9.758,5.3,8.308
5.4,9.907,5.4,7.893,5.4,8.806,5.4,7.717
5.5,8.846,5.5,7.842,5.5,8.123,5.5,7.308
5.6,7.999,5.6,7.741,5.6,7.593,5.6,6.832
5.7,7.4,5.7,7.507,5.7,7.182,5.7,6.317
5.8,6.898,5.8,6.946,5.8,6.882,5.8,5.924
5.9,6.46,5.9,6.275,5.9,6.587,5.9,5.68
6,5.877,6,5.672,6,6.25,6,5.644
